timestamp,ax,ay,az,label,subject_id
1781611466669,-2840,2988,-13440,4,A
1781611466690,-2116,1544,-9696,4,A
1781611466712,-1144,5480,2672,4,A
1781611466733,-7156,32767,23288,4,A
1781611466756,-13372,32767,24412,4,A
1781611466777,-5128,32767,19232,4,A
1781611466798,60,24732,11404,4,A
1781611466820,116,14104,5048,4,A
1781611466841,2788,5232,-2480,4,A
1781611466862,2268,-872,-12312,4,A
1781611466885,1756,-2884,-18708,4,A
1781611466906,896,-3832,-20188,4,A
1781611466927,1116,-1180,-14384,4,A
1781611466949,-2324,4564,-2724,4,A
1781611466971,-9264,25576,17908,4,A
1781611466993,-18360,32767,30428,4,A
1781611467015,-12020,32767,16832,4,A
1781611467036,968,20296,10936,4,A
1781611467056,5324,8632,2672,4,A
1781611467079,4852,3648,-7288,4,A
1781611467101,2324,1212,-13176,4,A
1781611467122,812,424,-14976,4,A
1781611467144,-688,620,-14936,4,A
1781611467165,-1948,3808,-10532,4,A
1781611467186,-3800,6636,-148,4,A
1781611467208,-9332,32767,22080,4,A
1781611467229,-29532,32476,0,4,A
1781611467252,-7380,32767,16364,4,A
1781611467273,-1672,19116,7468,4,A
1781611467295,1368,12536,1372,4,A
1781611467316,1576,5192,-7980,4,A
1781611467337,68,4532,-13000,4,A
1781611467359,956,3028,-12856,4,A
1781611467381,372,2896,-12804,4,A
1781611467402,1412,2484,-10232,4,A
1781611467424,416,3512,-3076,4,A
1781611467446,-4600,12736,12760,4,A
1781611467468,-29828,32767,26892,4,A
1781611467490,-13652,32767,13620,4,A
1781611467511,-7516,28300,9556,4,A
1781611467533,-1180,15316,6084,4,A
1781611467554,-384,11228,-1464,4,A
1781611467576,680,7272,-8356,4,A
1781611467597,2700,3052,-10236,4,A
1781611467619,4508,924,-11032,4,A
1781611467641,1868,3080,-10760,4,A
1781611467662,224,4456,-10120,4,A
1781611467684,20,2640,-5996,4,A
1781611467705,-3288,10056,4244,4,A
1781611467726,-15980,32767,18328,4,A
1781611467749,-25188,32767,13288,4,A
1781611467770,-11228,32767,12196,4,A
1781611467792,-2024,22652,8836,4,A
1781611467814,1800,12512,2868,4,A
1781611467835,3588,6036,-5364,4,A
1781611467856,2524,5256,-9324,4,A
1781611467878,1876,2724,-11380,4,A
1781611467899,-204,3176,-13344,4,A
1781611467922,-412,3756,-12552,4,A
1781611467943,-524,3252,-8252,4,A
1781611467964,-1968,6640,1208,4,A
1781611467986,-14264,29660,14960,4,A
1781611468008,-26380,32767,14732,4,A
1781611468029,-10116,32767,16692,4,A
1781611468050,-3036,26076,14348,4,A
1781611468072,88,15512,7460,4,A
1781611468093,1564,6540,-4484,4,A
1781611468116,1000,4656,-9612,4,A
1781611468137,2192,3472,-11788,4,A
1781611468159,3152,368,-15788,4,A
1781611468180,2992,1128,-14564,4,A
1781611468202,2224,3284,-8592,4,A
1781611468223,-952,6540,2856,4,A
1781611468245,-16688,32767,25028,4,A
1781611468267,-31316,32767,18884,4,A
